REF_AREA,Reference area,Unit of measure,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,414.4
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,408.7
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,423.6
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,402.3
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,409.9
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,394.2
EST,Estonia,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,400.2
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,222.5
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,206.6
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,204.1
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,207.3
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,215.2
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,190.9
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,230.2
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,216.1
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,192.6
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,191
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,198.3
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,189.4
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,194.4
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,196
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,201.7
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,202.9
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,191.9
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,194.4
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,205.7
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,203.7
CRI,Costa Rica,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,222.1
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,210.1
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,209.7
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,231.7
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,229.7
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,234.5
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,231.5
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,211.1
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,213.8
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,213.1
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,213
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,216.2
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,219.7
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,223
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,227.2
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,229.1
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,230.2
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,190
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,193.3
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,196.8
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,203.6
SWE,Sweden,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,203.9
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,209
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,224.8
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,253.9
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,239.4
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,249.8
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,257.4
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,213
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,230.6
LUX,Luxembourg,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,150.2
LUX,Luxembourg,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,156.7
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,240.6
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,224.2
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,247.6
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,230.3
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,228.9
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,232.7
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,174.2
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,191.9
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,196.6
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,206.5
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,203.3
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,110
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,107.2
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,113.4
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,113.8
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,114.9
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,115.9
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,102.4
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,109.6
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,111
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,103.4
TUR,Türkiye,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,110.1
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,141.4
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,141.6
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,157
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,157.1
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,160.2
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,160.2
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,145.4
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,145.7
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,148.9
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,147.6
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,147.1
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,148.2
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,148.7
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,150.3
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,150.1
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,153.6
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,136.6
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,137.1
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,137.7
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,140.7
ESP,Spain,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,141.2
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,307.9
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,309.5
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,322.2
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,317.3
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,321
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,318.9
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,311.7
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,309.8
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,308.6
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,309.2
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,312.5
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,311.2
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,314.8
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,310.1
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,313.7
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,310.4
PRT,Portugal,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,295.4
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,123
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,125.8
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,154.5
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,156
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,151.3
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,151.5
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,128.5
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,130.2
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,132.3
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,138.4
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,138
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,138.8
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,143.2
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,142.3
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,148.3
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,148.9
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,109
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,111.9
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,113.7
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,117.3
KOR,Korea,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,122
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,214.1
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,218.2
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,207.6
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,204.5
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,206.5
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,222.3
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,212.4
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,224.2
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,219.9
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,223.1
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,226.2
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,196
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,202.9
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,201.3
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,200.6
NZL,New Zealand,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,199.2
BEL,Belgium,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,186.1
BEL,Belgium,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,187.3
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,293.3
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,335
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,342
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,347.9
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,351
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,295.9
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,299.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,304.7
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,304.3
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,306.2
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,311.3
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,316.8
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,320.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,325
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,327.3
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,270.9
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,273.8
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,286.1
GBR,United Kingdom,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,284.3
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,257.8
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,268.5
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,320.8
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,329.4
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,325.1
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,323.5
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,271.7
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,272.5
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,284.3
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,292.1
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,293.6
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,302.4
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,305.8
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,301.1
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,311.8
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,315.7
NOR,Norway,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,297
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,179.6
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,186.4
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,203.8
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,209.2
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,210.3
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,209.4
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,183.2
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,190.1
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,190.7
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,196.9
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,192.4
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,196.8
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,199
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,198.8
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,202.3
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,202.3
NOR,Norway,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,182.1
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,274.6
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,279
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,324.1
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,328.5
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,333.8
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,339.8
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,284.3
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,289.2
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,294.5
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,299.7
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,298.7
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,306.9
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,310.6
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,312.9
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,319.9
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,324.9
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,249.3
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,252.1
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,255.4
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,263.6
JPN,Japan,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,268.9
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,197.1
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,195.4
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,225.9
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,215.4
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,188.8
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,235.9
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,191.9
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,198.6
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,196.1
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,201.2
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,195.5
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,218.7
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,225.2
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,182.8
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,191.4
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,213.3
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,175.8
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,181.2
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,177.6
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,182.1
ISL,Iceland,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,214.3
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,221.1
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,222.6
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,232.9
LUX,Luxembourg,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,232.7
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,265.5
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,258.7
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,226.3
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,233.4
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,235.6
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,235
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,239.2
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,241.2
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,244.6
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,245.7
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,250.3
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,255
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,206.2
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,208.2
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,214.6
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,215.9
ITA,Italy,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,218.5
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,192.3
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,193
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,214.6
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,214.2
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,220.1
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,221.8
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,196.6
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,198.1
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,199.5
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,203.6
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,197.9
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,200.7
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,202.9
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,206.7
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,207.8
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,211.6
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,186.7
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,188.4
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,187.1
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,191.4
FIN,Finland,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,193.8
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,179.5
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,178.3
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,190.7
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,187.6
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,186.7
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,189.7
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,177.8
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,170.5
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,168
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,175.2
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,176.9
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,178
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,182.7
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,181.2
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,184.8
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,184.8
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,172.6
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,179.2
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,178.3
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,181.5
COL,Colombia,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,178.8
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,266.6
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,257.2
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,287.2
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,290.2
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,286.6
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,287.4
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,271.2
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,265.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,274.6
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,281.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,282.9
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,287.9
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,287.2
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,280.8
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,279.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,280.8
SVN,Slovenia,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,249.6
